ticks,slope_disp_mean,disp0_mean,variance_pheno_logit_disp0,variance_pheno_disp_slope,heritability,fecundity,K,reproduction,seedID,pxcor,N_predispersal,N_postdispersal,N_sedentary,N_allele0_pre,N_allele1_pre,N_allele0_post,N_allele1_post,mean_genotype_logit_disp0,var_genotype_logit_disp0,mean_noise_logit_disp0,var_noise_logit_disp0,mean_genotype_disp_slope,var_genotype_disp_slope,mean_noise_disp_slope,var_noise_disp_slope,agent,breed,present_front,new_front,v_f,replicateID,Location_full
1,-1,0.1,0,0,0,5,500,sexual,1,1,0,25,0,0,0,18,32,0,0,0,0,0,0,0,0,patches,NA,1,yes,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 1 1
1,-1,0.1,0,0,0,5,500,sexual,1,0,500,475,0,481,519,463,487,-2.1972245773362227,1.2647068620777743e-29,0,0,-1,0,0,0,patches,NA,1,yes,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 0 1
10,-1,0.1,0,0,0,5,500,sexual,1,2,505,501,0,411,599,403,599,-2.197224577336224,2.3910389689250956e-29,0,0,-1,0,0,0,patches,NA,6,no,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 2 10
10,-1,0.1,0,0,0,5,500,sexual,1,1,491,508,0,405,577,422,594,-2.197224577336221,3.161883301742994e-30,0,0,-1,0,0,0,patches,NA,6,no,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 1 10
10,-1,0.1,0,0,0,5,500,sexual,1,6,0,13,0,0,0,6,20,0,0,0,0,0,0,0,0,patches,NA,6,no,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 6 10
10,-1,0.1,0,0,0,5,500,sexual,1,5,241,226,0,156,326,148,304,-2.1972245773362156,1.2674365210550923e-29,0,0,-1,0,0,0,patches,NA,6,no,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 5 10
10,-1,0.1,0,0,0,5,500,sexual,1,4,550,559,0,280,820,283,835,-2.1972245773362324,1.7781700732440839e-28,0,0,-1,0,0,0,patches,NA,6,no,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 4 10
10,-1,0.1,0,0,0,5,500,sexual,1,0,543,531,0,516,570,503,559,-2.197224577336231,1.4403515809456728e-28,0,0,-1,0,0,0,patches,NA,6,no,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 0 10
10,-1,0.1,0,0,0,5,500,sexual,1,3,490,482,0,244,736,247,717,-2.197224577336221,3.1618964708245056e-30,0,0,-1,0,0,0,patches,NA,6,no,0.5662738126405026,slope_-1_d0_0.1_VP_0_h2_0_sexual_1,slope_-1_d0_0.1_VP_0_h2_0_sexual_1 3 10
1,-1,0.1,1,1,0,5,500,sexual,1,0,500,453,0,481,519,430,476,-2.1972245773362227,1.2647068620777743e-29,-0.021811789351271104,1.0279906969036805,-1,0,0.02949783088986839,1.0849109995843036,patches,NA,1,yes,0.5662738126405026,slope_-1_d0_0.1_VP_1_h2_0_sexual_1,slope_-1_d0_0.1_VP_1_h2_0_sexual_1 0 1
